Agency,Application name,Primary domain,Number of users,Number of licenses,Number of government support staff,Number of contractors,Start of use date,End of use date,is-custom,is-service,Manufacturer,Product/service name,Estimated replacement cost
DAF,Drought and Disaster Assistance Management System,"Subsidies, Grants, Benefits and Assistance",100,100,0.1,0.04,01/01/1992 0:00,1/12/2016 0:00,Yes,No,SMS Consulting,DDAMS,750000
DAF,eDOCS,Document and Records Management,1100,1100,1,0.2,01/01/2000 0:00,31/12/2018 0:00,No,No,Hummingbird,Hummingbird,180000
DAF,Financial Reporter,Financial Management,50,50,0.1,0.02,31/12/1999 0:00,31/12/2018 0:00,Yes,No,Corporate Service Agency,Financial Reporter,0
DAF,Fisheries Data Mining Environment,Information Provision,141,141,4.3,0.8,06/09/2006 0:00,01/07/2025 0:00,Yes,No,DAFF,Custom,1500000
DAF,HR Reporter,Employee Administration,50,50,0,0,31/12/1999 0:00,31/12/2018 0:00,Yes,No,Corporate Service Agency,HRM Reporter,0
DAF,Plant Pathology Herbarium & Insect Collection Database,Laboratory Systems,20,10,0.6,0.1,01/06/2002 0:00,01/06/2023 0:00,Yes,No,KE Software,Custom,100000
DAF,Landesk,Investigations Management,90,90,0.6,0.1,01/01/2005 0:00,01/01/2018 0:00,Yes,No,Landesk,Touchpaper,500000
DAF,Phoenix,Brand Management,10,10,1,0,1/10/2005 0:00,01/06/2017 0:00,Yes,No,Reflector System Pty Ltd,Phoenix,380000
DAF,Shark Control Program,Case Management,1000,1000,1.2,0.2,02/04/2011 0:00,31/12/2018 0:00,Yes,No,DAFF,Shark Control Program,120000
DAF,Stocked Impoundment Permits,"Authorities, Licences, Permits and Awards",35,35,0.3,0,01/07/2007 0:00,01/07/2017 0:00,Yes,No,DAFF,Custom,250000
DAF,Vessel Monitoring System,Registrations and Inspections,125,125,0.4,0,01/06/2008 0:00,01/07/2020 0:00,No,No,TerraVision Pty Ltd,VMS,500000
DAF,Web Contact Centre Phone System,Customer Service and Support,22,1,0.1,0,01/03/2008 0:00,01/01/2017 0:00,No,No,Telstra,Total Contact Centre,100000
DAF,Beekeeper,"Authorities, Licences, Permits and Awards",20,20,0.2,0.1,01/07/2002 0:00,01/07/2019 0:00,Yes,No,DAFF,Custom,100000
DAF,Citrus Canker Corrective Actions Database,Investigations Management,50,50,0.1,0.05,01/01/2000 0:00,01/07/2018 0:00,Yes,No,DAFF,Custom,10000
DAF,Electric Ant Information System,Registrations and Inspections,120,120,0.2,0.05,01/07/2002 0:00,01/07/2015 0:00,Yes,No,DAFF,EAIS,450000
DAF,ACCPAC / TICFev,Case Management,50,50,0.4,Not reported,02/04/2011 0:00,1/12/2018 0:00,No,No,Sage,Sage 300,70000
DAF,InfoView BAM,Costing,50,50,0,0,01/08/2011 0:00,01/07/2017 0:00,No,No,InfoView Technologies Pty Ltd,InfoView,0
DAF,Web Services DAF (Application),"Authorities, Licences, Permits and Awards",5000,5000,1,0.2,01/02/2012 0:00,31/12/2018 0:00,Yes,No,Squiz,Squiz,200000
DAF,Spatial,Information Provision,5000,5000,7.3,1.5,02/04/2011 0:00,1/12/2018 0:00,Yes,No,ESRI,ESRI,700000
DAF,Qfish,Case Management,50,50,0.4,0.1,02/04/2011 0:00,31/12/2018 0:00,Yes,No,DAFF,Qfish,70000
DAF,LIMS - Sample Manager,Laboratory Systems,80,29,2.5,0.5,01/02/2005 0:00,01/07/2023 0:00,No,No,ThermoFisher Scientific,Sample Manager,500000
DAF,Fire Ant Management System,Case Management,200,200,0.2,0.1,11/06/2013 0:00,11/06/2023 0:00,Yes,No,Readify,Suite,1500000
DAF,Regulated Dogs Register,Customer Service and Support,150,150,0.4,0,09/05/2011 0:00,30/06/2018 0:00,Yes,No,Simient,Custom,150000
DAF,DAF Customer Relationship Management (DAF CRM),Client Account Management,500,500,0.4,0.5,02/04/2011 0:00,31/12/2018 0:00,Yes,No,Microsoft,Microsoft Dynamics,70000
DAF,Clearcost,Budgeting,50,50,0.2,0.5,02/04/2013 0:00,31/12/2018 0:00,No,No,Clearcost,Clearcost,210000
DAF,Tadpole,Time and Attendance,500,500,1,0.2,01/07/2014 0:00,1/12/2018 0:00,No,No,Information PLUS Pty Ltd,Tadpole,100000
DAF,Smart Forms Support DAFF Biosecurity,Case Management,50,50,1.5,0.2,01/06/2013 0:00,31/12/2018 0:00,Yes,No,DAFF,Adobe,120000
DAF,NLIS Reporter,Case Management,50,50,1.1,0.2,01/06/2013 0:00,31/12/2018 0:00,Yes,No,DAFF,NLIS Reporter,125000
DAF,Web-based Agriculture Land Information,Case Management,5000,5000,0.9,0.2,01/06/2013 0:00,1/12/2018 0:00,Yes,No,DAFF,Squiz,100000
DAF,CSP; Human Resource Management/ Payroll,Payroll,50,50,0,0,01/01/1990 0:00,01/07/2015 0:00,No,No,SAP,ERP,0
DAF,CSP; Financial Mgmt,Financial Management,50,50,0,0,01/01/1990 0:00,31/12/2018 0:00,No,No,SAP,R/3,0
DAF,ePettyCash,Financial Management,50,50,0,0,31/12/1999 0:00,31/12/2018 0:00,Yes,No,Corporate Service Agency,ePettyCash,0
DAF,Employee Self Service,Employee Administration,5000,5000,0,0,01/01/2011 0:00,31/12/2018 0:00,Yes,No,Corporate Service Agency,ESS,0
DAF,HRMS Payroll Archive,Payroll,50,50,0,0,31/12/1999 0:00,31/12/2018 0:00,Yes,No,Corporate Service Agency,HRMS Payroll Archive,0
DAF,SpringBoard,Recruitment,50,50,0,0,06/01/2007 0:00,31/12/2018 0:00,No,No,HRX,RecruitASP/Springboard/SmartJobs Website,0
DAF,eAssets,Enterprise Asset Management,50,50,0,0,31/12/1999 0:00,31/12/2018 0:00,Yes,No,Corporate Service Agency,eAssets,0
DAF,Web Technical Services - Infrastructure DAF,Information Provision,5000,5000,1,0.2,01/02/2012 0:00,31/12/2018 0:00,Yes,No,Squiz,Squiz,0
DCCSDS,[DJAG] Youth and Family Support Service Client Information System,Case Management,12,0,0,0,30/06/2002 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom Coldfusion Implementation,0
DCCSDS,DCCSDS FYP; Financial Mgmt,Financial Management,4500,1,0,0,31/12/2003 0:00,12/01/2016 0:00,No,No,QSS,QSS Shared Service SAP FI Implementation,0
DCCSDS,NGO Information System,"Authorities, Licences, Permits and Awards",10,0,0,0,31/01/2008 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net Implementation,131448
DCCSDS,IJIS/EMMA,Information Provision,12,0,0,0,31/03/2009 0:00,12/01/2016 0:00,No,No,Microsoft,Configured BizTalk Implementation,2887806
DCCSDS,Corporate Phone List,Information Provision,7000,0,0,0,08/01/2013 0:00,12/01/2017 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net/SQL Implementation,0
DCCSDS,Maximizer CRM,Information Provision,12,39,0,0,31/12/2006 0:00,12/01/2016 0:00,No,No,CRM Central Pty Ltd,Configured Maximizer Implementation,0
DCCSDS,RecFind [COM],Document and Records Management,300,102,0,0,31/12/1989 0:00,12/01/2016 0:00,No,No,KnowledgeOne,Configured RecFind Implementation,0
DCCSDS,SAS,Information Provision,600,1,0,0,29/07/2008 0:00,12/01/2016 0:00,No,No,SAS Institute Australia Pty Ltd/ Metacoda Pty Ltd,Configured SAS/Metacoda Security Plugin Implementation,1090932
DCCSDS,ePettyCash,Financial Management,571,1,0,0,31/12/2005 0:00,12/01/2016 0:00,Yes,No,QSS,QSS Shared Service Implementation,0
DCCSDS,Training Records Administration System,Organisational Development,15,0,0,0,31/12/1989 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom Coldfusion Implementation,0
DCCSDS,"Critical Incident Recording, Management and Reporting System",Case Management,230,0,0,0,29/03/2009 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net Implementation,0
DCCSDS,Libero - WebOpac,Library Management,11367,3,0,0,16/06/2010 0:00,12/01/2016 0:00,No,No,Insight Informatics,Configured Libero LMS including Web Opac Implementation,0
DCCSDS,Community Sector Information System,Case Management,100,0,0,0,31/07/2007 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net Implementation,466984
DCCSDS,Fraedom,Financial Management,Not reported,Not reported,Not reported,Not reported,01/01/2015 0:00,12/01/2016 0:00,No,No,Fraedom SAAS?,Fraedom SAAS?,0
DCCSDS,DCCSDS Internet,Information Provision,1000000,0,0,0,31/12/1989 0:00,12/01/2017 0:00,No,No,"Autonomy, HP",Configured TeamSite/SQL Implementation - Internet Site,0
DCCSDS,Qtravel,Financial Management,Not reported,Not reported,Not reported,Not reported,01/01/2015 0:00,12/01/2016 0:00,No,No,QSS Shared Service Implenetation,QSS Shared Service Implenetation,0
DCCSDS,Communities Collaboration Central CCC,Information Provision,4500,0,0,0,31/12/2012 0:00,12/01/2017 0:00,No,No,Microsoft,Configured Sharepoint Implementation,0
DCCSDS,DCCSDS Intranet,Information Provision,4500,0,0,0,31/12/1989 0:00,12/01/2017 0:00,No,No,"Autonomy, HP",Configured TeamSite/SQL Implementation - Intranet,0
DCCSDS,e-Tender,Sourcing and Procurement,Not reported,Not reported,Not reported,Not reported,01/01/1990 0:00,12/01/2016 0:00,No,No,QSS,QSS Shared Service Implementation,0
DCCSDS,DCCSDS CorpTech Other SAP Functionality,Costing,3252,1,0,0,31/12/2003 0:00,12/01/2016 0:00,No,No,QSS,"QSS SAP Project System, Inventory Mgt, Investment Mgt",0
DCCSDS,Alfred,"Call Centre, Help Desk",100,100,Not reported,Not reported,07/01/2014 0:00,07/01/2020 0:00,No,No,Atlassian,Configured Atlassian Confluence Imlementation,0
DCCSDS,[DJAG] FAMYJ,Case Management,1500,0,0,0,31/12/1998 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom Powerbuilder/Ingres Implementation,1688672
DCCSDS,Women's Info Link (WIL) Cleaner - Office for Women,Information Provision,5,0,0,0,27/04/2008 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom MS Access/SQL Implementation,0
DCCSDS,[DATSIP] Community and Personal Histories Requests,Information Submission,18,0,0,0,10/10/1999 0:00,31/12/2018 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net Implementation,0
DCCSDS,System Access Request,"Call Centre, Help Desk",7000,0,0,0,31/12/2012 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net Implementation,0
DCCSDS,iLearn,Skills Management,8000,Not reported,0,0,01/01/2015 0:00,01/01/2020 0:00,No,No,Veracity Business Solutions,Configured Janison's Cloud Learning System (CLS) Implementation,0
DCCSDS,DCCSDS MINCOR Ministerial Correspondence System,Information Provision,500,10000,0,0,29/10/2006 0:00,12/01/2018 0:00,No,No,Bay Technologies Pty Ltd,Configured MINCOR Implementation,20490
DCCSDS,Adoptions Case Management System (ACMS),Case Management,30,33,0,0,15/07/2004 0:00,12/01/2016 0:00,No,No,Oracle,Configured Siebel CRM Implementation,3489946
DCCSDS,Reports Database,Information Provision,3,0,0,0,31/01/2003 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom MS Access Implementation,0
DCCSDS,[DATSIP] Document Management System [DMS],Document and Records Management,30,0,0,0,31/12/2001 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom Coldfusion Implementation,0
DCCSDS,HR Reporting,"Executive, Management Information Systems",12,Not reported,Not reported,Not reported,07/01/2014 0:00,07/01/2020 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom Sharepoint/SQL Service Reporting/.Net Implementation,0
DCCSDS,Central Screening Unit (CSU),Information Submission,35,0,0,0,31/07/2006 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net Implementation,1311539
DCCSDS,Evolve Data Framework System,Case Management,100,0,0,0,31/08/2010 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net Implementation,0
DCCSDS,Womens Infolink Find a Service,Information Provision,75,0,0,0,31/12/2005 0:00,12/01/2016 0:00,No,No,Microsoft,Configured TeamSite/SQL Implementation - Internet Site,0
DCCSDS,Grants Management System,Information Submission,11,0,0,0,31/12/1997 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom MS Access/SQL Implementation,2197720
DCCSDS,GHADAP Guide Hearing & Assistance Dogs Administration Platform,Case Management,5,5,0,0,31/07/2009 0:00,12/01/2016 0:00,No,No,Beethoven Computer Services Pty Ltd,Configured Resolve Implementation,0
DCCSDS,Asset Management System AMS,Enterprise Asset Management,30,0,1,0,11/01/2013 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net Implementation,0
DCCSDS,TeamMate,Accreditation,Not reported,Not reported,Not reported,Not reported,01/01/2012 0:00,12/01/2018 0:00,No,No,Wolters Kluwer,Configured TeamMate AM/SQL Implementation,0
DCCSDS,Submissions Database,Information Submission,3,0,0,0,31/12/1989 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom MS Access Implementation,0
DCCSDS,Mastercard Smart Data Generation 2,Receipting,Not reported,Not reported,Not reported,Not reported,01/01/2014 0:00,12/01/2016 0:00,No,No,QSS Shared Service Implementation,QSS Shared Service Implementation,0
DCCSDS,Online Data Collection,Information Submission,600,0,0,0,31/12/2005 0:00,12/01/2016 0:00,Yes,No,Polymorphic & DCCSDS,Custom .Net Implementation,0
DCCSDS,Recruitment Tracking Database,Recruitment,5,0,0,0,31/12/2008 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom MS Access Implementation,0
DCCSDS,Carepay,Client Account Management,12,0,0,0,31/12/1998 0:00,07/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom Powerbuilder/Ingres Implementation,0
DCCSDS,ICMS Mobile Viewer,Information Provision,60,Not reported,Not reported,Not reported,25/08/2014 0:00,30/11/2019 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net Implementation,0
DCCSDS,DCCSDS Extranet,Information Provision,200000,0,0,0,31/12/1989 0:00,12/01/2017 0:00,No,No,Microsoft,Configured SharePoint/SQL Implemenentation - Extranet Site,0
DCCSDS,BMC Remedy Action Request System,"Call Centre, Help Desk",280,248,0,0,31/12/1999 0:00,12/01/2017 0:00,No,No,BMC Software Asia Pacific Pty Ltd,Configured BMC Remedy Imlementation,0
DCCSDS,[DJAG] QUEST,Case Management,13,0,0,0,30/09/2002 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom MS Access/SQL Implementation,0
DCCSDS,[DJAG] Conferencing Reporting Information System - YJ (CRIS-YJ),Case Management,Not reported,Not reported,Not reported,Not reported,21/05/2012 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net Implementation,0
DCCSDS,Grants Budget System,"Subsidies, Grants, Benefits and Assistance",2,0,0,0,31/12/1989 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom MS Access Implementation,0
DCCSDS,Criminal History Checks Database,Employee Administration,6,Not reported,0,0,31/12/1989 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom MS Access Implementation,210257
DCCSDS,Web CC,Client Account Management,100,1,0,0,31/12/2009 0:00,12/01/2017 0:00,No,No,Telstra,Configured Telstra IVR Service Implementation,0
DCCSDS,Time and Dissection Program On-line,Time and Attendance,3340,1407,0,0,31/12/2008 0:00,12/01/2018 0:00,No,No,Information Plus Pty Ltd,Configured TADPOLE Implementation,0
DCCSDS,Critical Incident and Child Safety Concern Report Database,Case Management,8,0,0,0,31/12/1989 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom MS Access/SQL Implementation,0
DCCSDS,Redress Scheme Information System,"Subsidies, Grants, Benefits and Assistance",1,0,0,0,23/02/2015 0:00,01/01/2020 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net/SQL Implementation,0
DCCSDS,EmpLive,Rostering,120,120,0,0,31/12/1989 0:00,12/01/2016 0:00,No,No,One Click Solutions Ltd t/a RosterLive,Configured RosterLive Implementation,0
DCCSDS,FAMYJ Child Safety Instance,Case Management,500,0,0,0,31/12/1998 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom Powerbuilder/Ingres Implementation,0
DCCSDS,"Workplace Injury, Illness and Incident Report Form",Occupational Health and Safety Management,199,0,0,0,31/05/2003 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net/SQL Implementation,0
DCCSDS,Community Recovery Processing System,Case Management,320,0,0,0,31/01/2009 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net Implementation,926446
DCCSDS,[DJAG] Shift Worker Employee Allowance Payments [SWEAP],Rostering,14,0,0,0,31/12/1989 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom MS Access Implementation,0
DCCSDS,DCCSDS Aurion HR & Payroll,Human Capital Management,4500,1,0,0,25/05/2015 0:00,01/01/2020 0:00,No,No,QSS Shared Service,QSS Shared Service Aurion HR Implementation,0
DCCSDS,eDocs,Document and Records Management,1500,3500,0,0,31/08/2006 0:00,12/01/2017 0:00,No,No,Open Text,Configured eDocs/Hummingbird Implementation,0
DCCSDS,[DATSIP] Internet,Information Provision,1000000,0,0,0,31/12/1989 0:00,12/01/2017 0:00,No,No,"Autonomy, HP",Configured TeamSite/SQL Implementation - Internet Site,0
DCCSDS,RecFind Online Search (ROS),Document and Records Management,Not reported,Not reported,Not reported,Not reported,31/12/1989 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net Implementation,0
DCCSDS,SmartyGrants,Information Submission,20000,1,0,0,12/11/2012 0:00,12/01/2018 0:00,Yes,No,Our Community Pty Ltd,SaaS SmartyGrants - Custom J2EE Implemenation,0
DCCSDS,Recfind [DCHS],Document and Records Management,600,102,0,0,31/12/1989 0:00,12/01/2016 0:00,No,No,KnowledgeOne,Configured RecFind Implementation,0
DCCSDS,SCAN Team Information System,Case Management,240,0,0,0,30/04/2006 0:00,12/01/2018 0:00,No,No,Microsoft,Configured Sharepoint Implementation,198873
DCCSDS,Funding Memos Database,Information Provision,4,0,0,0,31/12/1989 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom MS Access Implementation,0
DCCSDS,[DATSIP] Perceptive Enterprise Search,Document and Records Management,30,0,0,0,12/05/2006 0:00,12/01/2017 0:00,No,No,Lexmark Enterprise Software,Configured Perceptive Enterprise Search Implementation,0
DCCSDS,Utilisation Management System,ENTERPRISE RESOURCE PLANNING,5,1,0,0,31/12/2003 0:00,12/01/2016 0:00,Yes,No,Department of Housing and Public Works,QSS Shared Service Implenetation,0
DCCSDS,[DJAG] Integrated Client Management System,Case Management,500,0,0,0,26/03/2007 0:00,30/11/2019 0:00,Yes,No,Dialogue & DCCSDS,Custom .Net Implementation,32290324
DCCSDS,eMerchant SAM System,Sourcing and Procurement,Not reported,Not reported,Not reported,Not reported,01/01/2014 0:00,12/01/2016 0:00,No,No,Configured SaaS,Configured SaaS (part of Communitiy Recovery),0
DCCSDS,Child Related Costs - Placement & Support,Case Management,3,0,0,0,31/12/1989 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom MS Access Implementation,0
DCCSDS,Shared Mailboxes & Workgroup System [.NET],Information Provision,5000,0,0,0,31/12/2006 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net & Configured Exchange Server Implementation,0
DCCSDS,Critical Incident Reporting Management System,Case Management,210,0,0,0,30/11/2008 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net Implementation,0
DCCSDS,CCaRRS - Clinical Case Recording and Reporting System,Case Management,70,10,0,0,31/07/2009 0:00,12/01/2016 0:00,No,No,Beethoven Computer Services Pty Ltd,Configured Resolve Implementation,0
DCCSDS,CHIIP - Card Holder & Industry Information Platform,Registrations and Inspections,40,0,0,0,22/06/2008 0:00,12/01/2017 0:00,Yes,No,"Polymorphic Solutions & Department of Communities, Child Safety",Custom .Net Implementation,1113250
DCCSDS,ICMS - Child Protection,Case Management,2000,Not reported,0,0,26/03/2007 0:00,31/12/2018 0:00,Yes,No,Dialogue & DCCSDS,Custom .Net Implementation,45980874
DCCSDS,RTI,Information Provision,14,35,0,0,30/06/2012 0:00,12/01/2016 0:00,No,No,Beethoven Computer Services Pty Ltd,Configured Resolve Implementation,488809
DCCSDS,[DATSIP] Retail Store - HR/FI,Merchandising and Retailing,Not reported,1,Not reported,Not reported,07/01/2010 0:00,12/01/2016 0:00,No,No,"HR3 Pty Ltd, Sage Pastel International",Configured HR3pay/SAGE Pastel Evolution Implementation,0
DCCSDS,Complaints Management System,Client Account Management,40,77,0,0,8/11/2007 0:00,12/01/2016 0:00,No,No,Beethoven Computer Services Pty Ltd,Configured Resolve Implementation,193389
DCCSDS,Strategic Information Portal,Information Provision,12,12,0,0,31/12/1989 0:00,12/01/2016 0:00,No,No,SAS,Configured SAS Implementation,471247
DCCSDS,Criminal History Screening System,Employee Administration,110,77,0,0,20/12/2006 0:00,12/01/2016 0:00,No,No,Beethoven Computer Services Pty Ltd,Configured Resolve Implementation,210257
DCCSDS,FinEX,Financial Management,Not reported,0,Not reported,Not reported,12/01/2014 0:00,12/01/2018 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom (MS Excel).Net/SQL Implementation,0
DCCSDS,OASIS,Information Submission,600,0,0,0,30/06/2008 0:00,12/01/2016 0:00,Yes,No,Polymorphic Solutions Pty Ltd,Custom .Net Implementation,1349462
DCCSDS,Employee Self Service,Human Capital Management,4500,1,Not reported,Not reported,01/01/2004 0:00,12/01/2016 0:00,Yes,No,QSS Shared Service Custom Implementation,QSS Custom ESS v2,0
DCCSDS,"[DATSIP] Retail Store - POS, Procurement & Stock Control Systems",Merchandising and Retailing,30,7,0,0,30/06/2010 0:00,12/01/2016 0:00,No,No,Worldsmart Retech Pty,Configured Retail Stores Grocery Manager Implementation,0
DCCSDS,Forensic Disability Act Information System,Case Management,100,0,0,0,30/06/2012 0:00,12/01/2017 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net Implementation,0
DCCSDS,TriData,Budgeting,14,Not reported,0,0,31/12/2005 0:00,12/01/2016 0:00,Yes,No,Queensland Treasury,Custom QLD Treasury Implementation,0
DCCSDS,DCCSDS CorpTech Other Offerings,Enterprise Asset Management,3252,1,0,0,31/12/2003 0:00,12/01/2016 0:00,No,No,QSS,QSS Admin Support Including AMIS,0
DCCSDS,Time Limited Response,Case Management,15,0,0,0,01/01/1990 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom MS Access Implementation,0
DCCSDS,[DATSIP] Grants Administration System,Information Submission,19,0,0,0,31/12/2003 0:00,12/01/2016 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom MS Access/SQL Implementation,0
DCCSDS,BIS - Business Information System,Case Management,1500,1580,0,7.77,31/03/2007 0:00,06/01/2019 0:00,Yes,No,IBM Curam,Configured Curam and Custom J2EE Implementation,40513046
DCCSDS,[DJAG] DCOIS,Case Management,900,0,0,0,26/02/2011 0:00,12/01/2018 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services",Custom .Net Implementation,3800768
DCCSDS,Ready Reserve Management System,Customer Service and Support,1420,3000,0,0,22/10/2014 0:00,07/01/2020 0:00,No,No,Better Impact,Configured Volunteer Impact Implementation,10000
DCCSDS,Sortli,Case Management,Not reported,Not reported,Not reported,1,11/05/2014 0:00,07/01/2020 0:00,Yes,No,Klyp,"Sortli - Custom Mobile Application/iOS, Android, Windows",0
DET,MyHR Recruitment,Human Capital Management,20000,1,7,3,01/01/2012 0:00,30/06/2019 0:00,Yes,No,N/A,Microsoft .NET Framework 3.5,8103925
DET,MyHR Payroll,Human Capital Management,98500,1,5,7.5,30/06/1996 0:00,31/12/2020 0:00,Yes,No,Sum Total Systems,The Software Solution (TSS) version 5.2.1,80000000
DET,"MyHR Performance, Capability and Talent",Human Capital Management,5000,1,1.2,0.1,30/06/2009 0:00,30/06/2019 0:00,Yes,No,N/A,Microsoft .NET Framework 4.0,150000
DET,MyHR Workplace Health and Safety,Human Capital Management,62886,8,2.5,0,14/02/2011 0:00,31/12/2018 0:00,No,No,SAI Global,Cintellate (ver.5.9.2.8a),5543121
DET,MyHR Corporate Reporting,Human Capital Management,35000,1,2.5,1,01/09/2009 0:00,30/06/2017 0:00,Yes,No,N/A,Custom,453263
DET,International Students Management System (ISMS),Customer Service,367,300,3,1,22/03/2013 0:00,31/12/2023 0:00,Yes,No,Dialog Information Technology,Microsoft CRM,1500000
DET,Manage Employee Conduct and Complaints System (MEC),Complaints Management,80,49,1,0.02,15/12/2012 0:00,15/12/2018 0:00,Yes,No,Resolve PTY LTD,Resolve,2000000
DET,LALB Case Management System (RTI),Case Management,9,9,0.5,0,30/08/2012 0:00,20/06/2020 0:00,No,No,Resolve,Resolve DCM Solution 1.0 R1,941000
DET,Training and Youth Internet Management System (STA-TYIMS),Risk and Issue Management,10,10,0.33,0,01/01/2002 0:00,01/01/2020 0:00,Yes,No,N/A,Custom,600000
DET,Queensland Studies Authority (STA-QSA),Risk and Issue Management,20,20,0.2,0,01/01/2002 0:00,01/01/2020 0:00,Yes,No,N/A,Custom,600000
